feature,importance_mean,importance_std,importance_pct,rank
OFF_HOME_FTHG_R3,0.0,0.0,0.0,1
OPP_ADJ_AWAY_SOT_SCORED_R5,0.0,0.0,0.0,2
OPP_ADJ_AWAY_GOALS_CONCEDED_R3,0.0,0.0,0.0,3
OPP_ADJ_AWAY_GOALS_CONCEDED_R5,0.0,0.0,0.0,4
OPP_ADJ_AWAY_CORNERS_SCORED_R3,0.0,0.0,0.0,5
OPP_ADJ_AWAY_CORNERS_SCORED_R5,0.0,0.0,0.0,6
OPP_ADJ_AWAY_CORNERS_CONCEDED_R3,0.0,0.0,0.0,7
OPP_ADJ_AWAY_CORNERS_CONCEDED_R5,0.0,0.0,0.0,8
OPP_ADJ_AWAY_SOT_SCORED_R3,0.0,0.0,0.0,9
OPP_ADJ_GOAL_MATCHUP_HOME_R3,0.0,0.0,0.0,10
OFF_HOME_XG_R5,0.0,0.0,0.0,11
OPP_ADJ_GOAL_MATCHUP_HOME_R5,0.0,0.0,0.0,12
OPP_ADJ_GOAL_MATCHUP_AWAY_R3,0.0,0.0,0.0,13
OPP_ADJ_GOAL_MATCHUP_AWAY_R5,0.0,0.0,0.0,14
OPP_ADJ_CORNER_MATCHUP_HOME_R3,0.0,0.0,0.0,15
OPP_ADJ_CORNER_MATCHUP_HOME_R5,0.0,0.0,0.0,16
OPP_ADJ_CORNER_MATCHUP_AWAY_R3,0.0,0.0,0.0,17
OPP_ADJ_CORNER_MATCHUP_AWAY_R5,0.0,0.0,0.0,18
OPP_ADJ_AWAY_GOALS_SCORED_R5,0.0,0.0,0.0,19
OPP_ADJ_AWAY_GOALS_SCORED_R3,0.0,0.0,0.0,20
OPP_ADJ_HOME_SOT_SCORED_R5,0.0,0.0,0.0,21
OPP_ADJ_HOME_SOT_SCORED_R3,0.0,0.0,0.0,22
STRENGTH_SoT_Diff,0.0,0.0,0.0,23
INTERACTION_ATTACK_GOALS_DIFF_R5,0.0,0.0,0.0,24
INTERACTION_DEFENSE_GOALS_DIFF_R5,0.0,0.0,0.0,25
INTERACTION_ATTACK_SOT_DIFF_R5,0.0,0.0,0.0,26
EFFICIENCY_HOME_ATTACK_VS_AWAY_DEF_R5,0.0,0.0,0.0,27
EFFICIENCY_AWAY_ATTACK_VS_HOME_DEF_R5,0.0,0.0,0.0,28
EFFICIENCY_ATTACK_MATCHUP_DIFF_R5,0.0,0.0,0.0,29
OPP_ADJ_HOME_GOALS_SCORED_R3,0.0,0.0,0.0,30
OPP_ADJ_HOME_GOALS_SCORED_R5,0.0,0.0,0.0,31
OPP_ADJ_HOME_GOALS_CONCEDED_R3,0.0,0.0,0.0,32
OPP_ADJ_HOME_GOALS_CONCEDED_R5,0.0,0.0,0.0,33
OPP_ADJ_HOME_CORNERS_SCORED_R3,0.0,0.0,0.0,34
OPP_ADJ_HOME_CORNERS_SCORED_R5,0.0,0.0,0.0,35
OPP_ADJ_HOME_CORNERS_CONCEDED_R3,0.0,0.0,0.0,36
OPP_ADJ_HOME_CORNERS_CONCEDED_R5,0.0,0.0,0.0,37
OFF_HOME_XG_R3,0.0,0.0,0.0,38
DEF_HOME_XGA_R3,0.0,0.0,0.0,39
OFF_HOME_FTHG_R5,0.0,0.0,0.0,40
OFF_HOME_FTHG_EMA3,0.0,0.0,0.0,41
MKT_LOG_ODDS_H_A_RATIO,0.0,0.0,0.0,42
CTX_HOME_GOALS_STD_R5,0.0,0.0,0.0,43
CTX_HOME_CONCEDED_STD_R5,0.0,0.0,0.0,44
CTX_HOME_CORNERS_STD_R5,0.0,0.0,0.0,45
CTX_AWAY_GOALS_STD_R5,0.0,0.0,0.0,46
CTX_AWAY_CONCEDED_STD_R5,0.0,0.0,0.0,47
CTX_AWAY_CORNERS_STD_R5,0.0,0.0,0.0,48
DEF_HOME_FTAG_EMA3,0.0,0.0,0.0,49
DEF_HOME_XGA_R5,0.0,0.0,0.0,50
OFF_AWAY_FTAG_EMA3,0.0,0.0,0.0,51
DEF_AWAY_FTHG_EMA3,0.0,0.0,0.0,52
CTX_HOME_SCORE_STREAK,0.0,0.0,0.0,53
CTX_HOME_WIN_STREAK,0.0,0.0,0.0,54
CTX_HOME_CS_STREAK,0.0,0.0,0.0,55
CTX_AWAY_SCORE_STREAK,0.0,0.0,0.0,56
CTX_AWAY_WIN_STREAK,0.0,0.0,0.0,57
MKT_LOG_ODDS_A,0.0,0.0,0.0,58
MKT_LOG_ODDS_D,0.0,0.0,0.0,59
MKT_LOG_ODDS_H,0.0,0.0,0.0,60
MKT_OVERROUND,0.0,0.0,0.0,61
OFF_HOME_LUCK_R3,0.0,0.0,0.0,62
OFF_HOME_LUCK_R5,0.0,0.0,0.0,63
OFF_AWAY_XG_R3,0.0,0.0,0.0,64
OFF_AWAY_XG_R5,0.0,0.0,0.0,65
DEF_AWAY_XGA_R3,0.0,0.0,0.0,66
DEF_AWAY_XGA_R5,0.0,0.0,0.0,67
OFF_AWAY_LUCK_R3,0.0,0.0,0.0,68
OFF_AWAY_LUCK_R5,0.0,0.0,0.0,69
CTX_HOME_CUM_PTS,0.0,0.0,0.0,70
CTX_AWAY_CUM_PTS,0.0,0.0,0.0,71
CTX_HOME_PPG_L10,0.0,0.0,0.0,72
CTX_AWAY_PPG_L10,0.0,0.0,0.0,73
H2H_TOTAL_GOALS_R5,0.0,0.0,0.0,74
H2H_CORNERS_R5,0.0,0.0,0.0,75
H2H_HOME_WIN_RATE_R5,0.0,0.0,0.0,76
STRENGTH_Goal_Diff,0.0,0.0,0.0,77
DEF_Save_Rate_R5,0.0,0.0,0.0,78
OFF_Shot_Quality_R5,0.0,0.0,0.0,79
DEF_HOME_SAVE_RATE_R3,0.0,0.0,0.0,80
DIS_HOME_HR_R5,0.0,0.0,0.0,81
DIS_HOME_AR_R3,0.0,0.0,0.0,82
